Number of Frames,FIFO,LRU,OPT
1,98,98,98
2,97,97,86
3,94,93,79
4,91,92,73
5,90,90,68
6,88,88,64
7,86,86,60
8,85,84,56
9,84,83,53
10,83,82,51
11,83,81,50
12,76,76,49
13,73,73,48
14,71,69,47
15,68,66,46
16,68,65,45
17,66,64,44
18,63,62,43
19,61,60,42
20,58,56,42
21,58,54,42
22,58,54,42
23,57,52,42
24,56,51,42
25,54,49,42
26,54,49,42
27,54,49,42
28,54,48,42
29,54,48,42
30,51,48,42
