Number of Frames,FIFO,LRU,OPT
1,98,98,98
2,92,92,84
3,89,89,76
4,85,85,70
5,84,83,64
6,84,82,59
7,80,80,56
8,76,77,54
9,74,74,52
10,73,71,50
11,70,68,49
12,65,65,48
13,65,63,47
14,60,60,46
15,60,59,45
16,60,58,44
17,58,57,43
18,58,56,42
19,57,56,41
20,55,54,40
21,54,53,40
22,54,53,40
23,54,53,40
24,54,51,40
25,54,51,40
26,53,50,40
27,50,50,40
28,48,50,40
29,48,49,40
30,45,48,40
